Text Hash,Text Indices
10010011111010110011010100011011,0
11000010110000101111010110111111,1
11010011010001101001010110110000,2
10010010000111011001110110000100,3
11101110100101011111110100101011,4
11100111111111111111010100101001,5
11001011100010011101010100101111,6
11000110110111011110010100000011,7
11010110011001110111010110000100,8
10000111101101111111000100111010,9
11110010101111100101010110100011,"10, 29"
11110111010101110011011110100110,11
11011011001001100101010110000010,12
11000010010111010111010110110111,13
01000111110110001111010010101111,14
01000010010110011101010010100011,15
11110111110100110110010100110110,16
01001110000001011111010100110110,17
00101011010101011111110010110001,18
01000010110110011111110110111001,19
01001111000101110111110100110011,20
01001110000101011111110010010011,21
11000111110100010111110110111011,22
11000111111010010111010100111110,23
11001110100110110101110100001110,24
01011110000111000111010110110011,25
11000011100110111001010110110010,26
10011111001011000111110110011011,27
10001111110100110101010100111011,28
10001111110010010100000110100011,30
10010010101011110111010110010010,31
11011100111100011110010110110010,32
10001101110100000110110110110100,33
11001001111101010110110110110010,34
10010010111100101110111110010110,35
11010010111100011111010110010010,36
10110000110111000110110110110110,37
11010111111100011111110110110110,38
11010111101100001111010110110010,39
11110111010110100100110100110111,40
11111010111100001110110110110110,41
11010111101110011111011110010110,42
10000110100100000111010110000110,43
10010011111101111110010110010110,44
11010000111001010101110110110010,45
11011100110001110100010110110110,46
10000000110100010111110110110010,47
10001110100010010111110100110110,48
10010011010111010101010100110010,49
11000001100101000111110110110010,50
11000111001001100101000110100110,51
11001111100101100100010110111111,52
10100000111111101101010100100110,53
11110111111110101110000100101011,54
11100111100110100100010100101101,55
11001010000110011001110110111010,56
11100110101010001111010100111011,57
11100110000000011101110110111011,58
11000011000100011101010110111110,59
01110010110100010011110000111010,60
11110010010110011101110110110010,61
11010011010110011101010110101111,62
10001111001010000011010100110011,63
11000100011111000111011110110110,64
11011001001010010011011110110010,65
11011011001010100011010110110010,66
11000000110000011011010100110010,67
11100011100010001111110000101110,68
10010111011100110111010000101111,69
10000011000111001111110010111000,70
10000110100011111101010100101001,71
11000111010010101011010100111010,72
11011011110100110101001000111011,73
11010100100101111111111110111010,74
10000000100011010101010100100110,75
11000011110100110111010110111110,76
11100010100110110110010100110011,77
10000000101110110100010110101110,78
10010000101011100100110100100011,79
11001111111110110001010110110001,80
10000111100100110111110100111001,81
10011010101000000100010110110011,82
10000001000001010010010010000110,83
11010111101100110111010110100011,84
11100111001100110111010100000010,85
11000111001101110111000100010011,86
11100011001100001111111010010010,87
10000111000001010111000010001110,88
10110111001000000111010110110010,89
10010111011001110111000110010011,90
11000110001001110110000110010010,91
11100111101101110110110100110010,92
11000111011100110111000100110011,93
11110010011111110101010110100010,94
11000101001001111111010100010010,95
10000111110000110111110000010010,96
11000101000111111100111100000110,97
11100011011101011110011010011000,98
11000011001111011100110100110110,99
10001111100010000100111110100010,100
11010111110110010101111110010111,101
11010110010010010001010100011100,102
00100110010000101100010100111011,103
10000101000010011110011010110000,104
10111110110000011011010100100110,105
01000011000100100101010101110011,106
11100111000000110111010110110110,107
11100111011000110011010110110110,108
11100011011010110101010110110110,109
10110010011001011001010110110110,110
11001111101111111101110100010011,111
11100011101110101101010110100011,112
11000110101011100100010100000011,113
10000010101110111111011110010011,114
10110111110011110101011110000110,115
10011011000111101111010110110110,116
10011111000100000101110100100011,117
11110111011001110111011110010110,118
11010011001001110111011110110010,119
11010011001001100011000110010010,120
11011011101010100001011110110010,121
11111111101001111011010110000110,122
10010011001001110111000110111010,123
11000011000001100111001110010110,124
11011100001001010011010110010010,125
11000111101101101111011110010110,126
11100010000011110101010110010111,127
11000010001011100101010110100110,128
11010001000011100101010010000110,129
10000010001001000111110110110110,130
11000000001011000100010110000110,131
10110010001001100101010110100111,132
11010110100110100101110010111010,133
10000010110001000101010100110010,134
10000010101011110111110100110110,135
11010110110011010110010100111011,136
11010110110101010111011110100011,137
11000011110011010110011110110011,138
11000111001100000001010110100110,139
11100011001100111001010110110000,140
00100010100111110101110110101010,141
11010010000110100111010100011110,142
11100111000111000111110110110010,143
11011010010000100100110010000000,144
11000110010000111100110100110010,145
11011000000100011101010100110110,146
10010010000011100101110110110010,147
10000111010000100101010110110110,148
10110010001001110101000110100110,149
10110110001010010101010100111110,150
11111110011110010111010100010110,151
10010110011010110101110111000110,152
11010010100111000011010100111110,153
10000110100011011111010100110010,154
10000010010110111111010110110001,155
11010000001000100011110010110110,156
11001011001000101101010110110010,157
11111111110011101001010110100110,158
11010011011001000101011100110110,159
11010111010110100110100100110111,160
11000100111010111101010100010111,161
11000111010011000101010110100110,162
11110110110011010101000100001111,163
10011001111111110101010110100110,164
00100110110001011001010110110010,165
11110011010101110110010110010011,166
11110011111110110101010010111110,167
10000011010100100100010110111110,168
10110001010010100100010110110110,169
01000010011000101101010110111110,170
10000110000101011111010100110011,171
10100110100010011101010100111010,172
10001010110000001011010000110010,173
11010111111011000111010110111011,174
11000110001011110111110110110011,175
11100110100111010111010110111011,176
10010111100110000101110110110000,177
10010100101111010101010110110010,178
00001010000011101111010100100010,179
11010110001111110111010100111110,180
01011111100011000101010110110011,181
11000011100111111101000110100111,182
10110011010000001101010110010110,183
10100001000010001110110100010010,184
00010011001101011111111110110010,185
10100111110000110010010101110101,186
11010001101001011110001100000110,187
10100110100010010101000110100010,188
10100010101111011100010110110011,189
10000111001010100101000110010010,190
10000110101001000101010100010011,191
10010101111010110101010100011011,192
11010111000011100101010110111010,193
11110010100011010101110110101110,194
11001110100111101100110100101011,195
11101110110110100000110100110111,196
11010010100001000001010111100111,197
11001110110111100100100110110010,198
11001110001111111101110110110101,199
11110001110000110110010100011011,200
11001110101111100100011100100110,201
11011011000100010101010110110010,202
11001111100110110000010110111100,203
11100110101011100000110000101010,204
11010110101011110000010100111001,205
11000011000011110101010100001110,206
11011110001111100001010100110001,207
11001111100011100000000000101010,208
11010011001001100010010110110010,209
11001011001001100101011110110110,210
11011011101000101111011110110010,211
11010011001001111111011110111110,212
11010001001101110011011110010010,213
11100010001010010011010110110110,214
11100010100000000101010100110010,215
10110010100110001111110111111100,216
11101000001001111100000110000111,217
10110011101011111111111110101011,218
10000011101011101101111110101011,219
01010010100111000000010110101011,220
10010011000011000010011110110011,221
01000010100111100011010100110011,222
01100110101001100100110110001001,223
11010011100011010101010110001000,224
11110100001001011100010111110101,225
10010100001001110101010110110010,226
10010010001011110111010110100110,227
11000110010010100011010110111110,228
11000001100110011001110110110010,229
11010110101010101001010100101111,230
11100001101011100101010110100011,231
11010110000011100111010110101110,232
11011111100011110001010110100100,233
11000010100011000101010100110110,234
11010011111100100100010100010110,235
10010011111101010110110100110011,236
10110011111111110100011010110111,237
01000011100111111010111000110011,238
