Variant-0,Variant-1,Variant-2,Variant-3,Variant-4,Variant-5,Variant-6,Variant-7,Variant-8,Variant-9,Variant-10,Variant-11,Variant-12,Variant-13,Variant-14,Variant-15,Variant-16,Variant-17,Variant-18,Variant-19,Sources
12,53,58,56,54,42,51,59,41,49,52,50,56,55,52,53,56,54,42,57,Source-0
53,8,53,63,45,63,68,60,48,60,55,51,35,62,53,56,53,55,61,46,Source-1
55,54,11,49,31,53,54,38,46,60,45,51,53,54,39,52,57,49,49,30,Source-2
58,59,52,12,50,36,57,45,53,39,50,54,60,37,54,37,62,32,56,57,Source-3
54,45,32,48,14,54,43,33,41,55,46,42,50,55,46,51,54,46,52,25,Source-4
49,62,55,39,45,13,52,52,42,30,59,57,55,30,57,30,51,21,45,56,Source-5
54,61,58,54,46,56,15,51,49,51,46,42,56,53,44,49,46,50,56,55,Source-6
49,48,41,37,35,45,56,20,40,48,39,51,51,50,41,46,51,41,47,46,Source-7
48,49,44,44,36,46,59,41,19,45,40,50,42,49,50,41,48,46,50,43,Source-8
55,60,65,43,49,27,56,54,46,16,59,57,51,32,67,28,55,31,55,60,Source-9
59,50,43,49,45,53,54,46,54,58,15,57,43,58,49,48,59,53,59,54,Source-10
54,45,48,52,32,60,47,49,51,53,56,20,52,53,46,51,48,46,60,43,Source-11
61,44,57,55,47,55,56,56,42,52,43,53,15,56,55,54,59,51,59,52,Source-12
54,65,62,44,58,22,57,61,55,21,64,58,58,15,58,25,50,32,58,65,Source-13
54,49,40,64,46,60,51,53,57,61,48,46,56,51,18,51,42,54,56,39,Source-14
47,56,57,41,43,25,46,54,48,30,47,47,61,32,55,22,47,33,59,56,Source-15
54,51,60,62,56,54,49,61,49,51,54,48,56,45,46,47,6,56,56,61,Source-16
53,48,45,39,41,25,58,44,50,30,59,47,49,28,53,32,53,13,51,54,Source-17
29,58,51,53,53,45,52,52,42,50,57,51,57,58,53,52,57,49,17,48,Source-18
44,43,30,54,28,56,49,49,51,59,40,42,48,57,48,53,62,44,56,29,Source-19
