Variant-0,Variant-1,Variant-2,Variant-3,Variant-4,Variant-5,Variant-6,Variant-7,Variant-8,Variant-9,Variant-10,Variant-11,Variant-12,Variant-13,Variant-14,Variant-15,Variant-16,Variant-17,Variant-18,Variant-19,Sources
2,13,16,12,15,9,12,13,9,13,10,12,14,15,12,14,16,10,8,17,Source-0
14,1,14,14,9,9,18,13,11,9,14,10,8,9,14,8,8,10,12,13,Source-1
14,13,2,12,7,15,16,9,11,15,10,10,14,15,10,14,8,10,12,11,Source-2
11,12,11,3,12,8,15,12,10,10,11,11,13,8,13,9,15,7,11,12,Source-3
15,12,7,11,4,12,13,8,8,12,13,9,11,14,15,13,11,11,11,8,Source-4
11,10,17,11,12,4,13,16,10,8,15,13,7,8,15,7,13,7,11,16,Source-5
12,15,16,14,11,13,4,15,11,17,14,10,14,15,14,14,12,12,14,15,Source-6
10,11,10,10,7,9,18,7,7,9,10,12,12,13,12,12,10,8,8,13,Source-7
10,11,10,8,7,7,16,7,3,7,10,10,10,13,12,8,12,6,10,11,Source-8
12,13,16,12,13,5,16,15,9,5,16,14,10,9,18,4,16,8,12,15,Source-9
12,11,10,14,11,13,18,7,13,13,4,12,10,15,12,12,14,12,10,15,Source-10
13,8,9,9,6,10,11,12,6,10,13,5,9,10,13,9,9,7,11,10,Source-11
17,8,15,15,14,14,19,16,12,12,13,11,5,12,13,13,13,11,11,14,Source-12
14,13,18,14,15,5,16,19,13,7,16,16,10,5,14,6,12,8,12,19,Source-13
16,11,10,16,13,13,16,17,13,15,14,10,14,13,4,16,6,14,12,15,Source-14
11,8,17,11,12,4,15,16,10,6,15,11,9,6,15,5,13,7,13,16,Source-15
15,8,11,15,10,10,13,14,10,12,15,11,11,10,9,11,1,11,11,16,Source-16
14,7,12,12,9,7,16,13,9,5,12,10,6,7,12,6,8,6,10,15,Source-17
5,14,13,11,12,8,13,10,8,10,11,9,11,14,13,11,13,9,3,12,Source-18
11,12,9,9,6,12,15,10,10,12,9,7,13,12,13,11,13,7,11,12,Source-19
