Variant-0,Variant-1,Variant-2,Variant-3,Variant-4,Variant-5,Variant-6,Variant-7,Variant-8,Variant-9,Variant-10,Variant-11,Variant-12,Variant-13,Variant-14,Variant-15,Variant-16,Variant-17,Variant-18,Variant-19,Sources
7,26,31,23,27,21,26,29,19,29,25,26,30,29,27,30,33,25,20,30,Source-0
26,3,28,28,24,24,37,30,22,24,30,23,15,24,30,23,20,22,29,25,Source-1
28,25,4,24,14,28,29,18,26,30,20,25,27,30,18,29,24,22,23,17,Source-2
27,28,23,5,21,17,28,21,25,19,21,28,28,19,31,22,35,19,28,24,Source-3
28,23,14,22,6,24,25,16,20,28,24,21,23,28,24,29,26,18,23,11,Source-4
24,25,28,22,20,8,29,26,18,18,28,31,21,16,30,17,28,12,25,27,Source-5
29,30,29,29,25,29,8,25,25,29,23,22,28,29,23,26,25,25,30,30,Source-6
25,24,21,21,17,23,32,13,19,23,21,30,24,29,21,28,27,21,24,24,Source-7
22,21,22,20,16,18,33,22,10,20,20,25,19,24,26,17,22,18,27,21,Source-8
28,27,30,22,28,10,29,28,22,6,28,33,21,14,32,11,32,16,27,29,Source-9
30,27,20,26,20,26,31,18,28,26,4,25,21,28,24,23,30,26,29,29,Source-10
27,22,19,23,15,29,20,25,25,31,27,10,24,27,21,26,23,23,26,18,Source-11
34,21,28,24,26,24,33,30,26,24,22,23,9,24,28,25,28,20,29,25,Source-12
28,29,32,24,30,10,31,34,26,12,30,35,23,6,28,11,26,18,27,33,Source-13
32,25,22,34,24,30,27,28,28,28,26,21,27,24,8,27,16,26,23,23,Source-14
26,27,30,22,22,12,23,28,22,16,22,27,25,14,30,13,28,18,31,31,Source-15
31,22,25,35,29,29,26,31,25,29,29,24,24,23,21,22,3,29,32,32,Source-16
27,18,23,23,19,11,30,23,21,13,27,26,16,17,27,20,25,7,24,24,Source-17
13,28,23,25,25,23,26,25,19,25,27,26,24,29,23,26,31,21,6,22,Source-18
19,22,13,21,13,25,26,25,23,29,21,18,26,27,25,26,27,17,22,18,Source-19
