Text Hash,Text Indices
10010011,"0, 44, 49, 123, 221, 236, 240, 292, 411, 422, 452, 463, 471, 623, 632, 747, 780, 797"
11000010,"1, 13, 128, 234, 244, 258, 271, 415, 427, 429, 441, 450, 469, 505, 508, 512, 520, 573, 582, 589, 599, 659, 671, 678, 714, 776, 798, 874, 953"
11010011,"2, 62, 119, 120, 159, 209, 212, 224, 235, 245, 288, 328, 431, 461, 468, 511, 525, 537, 538, 543, 549, 554, 561, 566, 581, 621, 641, 649, 651, 693, 694, 699, 708, 710, 720, 735, 761, 781, 785, 800, 850, 906"
10010010,"3, 31, 35, 147, 227, 248, 284, 285, 354, 355, 425, 436, 442, 457, 462, 506, 509, 518, 519, 521, 526, 532, 546, 558, 580, 608, 616, 627, 653, 690, 698, 716, 725, 835, 970"
11101110,"4, 196, 753, 993"
11100111,"5, 55, 85, 92, 107, 108, 143, 250, 339, 474, 642, 676, 705, 712, 784, 805, 825, 868, 881, 882, 928, 931, 937, 965"
11001011,"6, 157, 210, 500, 770, 871"
11000110,"7, 91, 113, 145, 175, 228, 256, 293, 300, 314, 376, 395, 407, 564, 577, 595, 643, 644, 655, 662, 664, 702, 840, 900, 915, 939, 967, 987, 991"
11010110,"8, 102, 133, 136, 137, 180, 205, 230, 232, 280, 325, 330, 379, 413, 492, 495, 522, 529, 570, 586, 612, 631, 639, 675, 689, 877, 903, 907, 957"
10000111,"9, 81, 88, 96, 148, 190, 261, 302, 307, 365, 366, 481, 617, 677, 727, 813, 845, 886, 890"
11110010,"10, 29, 61, 94, 194, 268, 283, 308, 309, 310, 352, 375, 401, 424, 434, 439, 455, 466, 473, 482, 483, 487, 488, 515, 531, 535, 555, 574, 575, 593, 594, 603, 609, 614, 619, 625, 630, 633, 636, 638, 679, 685, 686, 692, 697, 709, 713, 719, 823"
11110111,"11, 16, 40, 54, 118, 340, 344, 345, 421, 443, 596, 629, 729, 817, 917"
11011011,"12, 66, 73, 121, 202, 211, 266, 419, 545, 740, 742, 847, 860"
01000111,"14, 749, 873, 978"
01000010,"15, 170, 222, 368, 777, 895, 973"
01001110,"17, 21"
00101011,18
01001010,"19, 247"
01001111,"20, 346, 949"
11000111,"22, 23, 51, 72, 86, 93, 126, 139, 162, 241, 301, 320, 359, 388, 420, 447, 494, 640, 646, 728, 760, 814, 816, 839, 852, 893, 914, 950, 951"
11001110,"24, 195, 198, 199, 201, 315, 326, 502, 660, 665, 669, 974, 979, 981"
01011110,25
11000011,"26, 59, 76, 99, 124, 138, 182, 206, 242, 255, 297, 303, 349, 465, 544, 578, 726, 738, 775, 853, 859, 910, 954"
10011111,"27, 117, 412, 656"
10001111,"28, 30, 63, 100, 367, 815"
11011100,"32, 46, 125, 390"
11001101,33
11001001,"34, 769"
11010010,"36, 142, 153, 197, 281, 282, 286, 317, 387, 409, 410, 435, 437, 445, 451, 464, 489, 493, 498, 507, 513, 514, 523, 534, 536, 540, 541, 551, 559, 560, 563, 567, 569, 576, 587, 588, 597, 598, 600, 605, 613, 620, 622, 626, 674, 684, 715, 717, 721, 730, 731, 743, 842, 846, 916, 925, 944, 959"
10110000,"37, 618, 997"
11010111,"38, 39, 84, 101, 160, 174, 193, 260, 332, 351, 391, 394, 399, 414, 418, 444, 681, 737, 779, 783, 834"
11111010,"41, 550"
11011111,"42, 233, 296, 485, 756, 782"
10000110,"43, 154, 171, 191, 239, 278, 279, 329, 360, 364, 406, 475, 615, 695, 812, 911, 941, 983"
11010000,"45, 156, 272, 275, 277, 380, 478, 668, 732, 736, 744, 790, 945, 996"
10000000,"47, 75, 78"
10001110,"48, 767"
11000001,"50, 229, 253, 257, 803, 982"
11001111,"52, 80, 111, 203, 208, 384, 389, 933"
10100000,"53, 804"
11001010,"56, 336, 405, 448, 634, 658, 667, 992"
11100110,"57, 58, 176, 204, 363, 393, 430, 432, 496, 497, 499, 524, 571, 604, 687, 704, 757, 795, 855, 889, 904, 908, 924, 926, 936, 942, 963, 964"
01110010,"60, 385, 752, 899, 929"
11000100,"64, 161"
11011001,"65, 267"
11000000,"67, 131"
11100011,"68, 87, 98, 109, 112, 140, 357, 799, 851, 856, 862, 866, 872, 918"
10010111,"69, 90, 177, 298, 343, 373, 398, 645, 863, 986"
10000011,"70, 168, 219, 287, 291, 299, 304, 822, 884"
10000010,"71, 114, 130, 134, 135, 155, 381, 438, 516, 624, 650, 673, 748, 793, 837, 838, 888"
11010100,74
11100010,"77, 127, 214, 215, 423, 628, 723, 724, 766, 801, 806, 827"
10010000,"79, 294, 486, 533"
10011010,"82, 356"
10000001,"83, 746, 891"
10110111,"89, 115, 370, 548, 700, 826, 887, 912, 943"
11000101,"95, 97, 249, 972"
00100110,"103, 165"
10000101,"104, 759"
10111110,"105, 378, 976"
01000011,"106, 238"
10110010,"110, 132, 149, 216, 254, 259, 426, 472, 476, 479, 490, 501, 553, 568, 718, 844"
10011011,116
11111111,"122, 158, 857"
11010001,"129, 187, 213, 264, 295, 305, 341, 791, 824, 920, 946"
00100010,141
11011010,"144, 337, 374, 470, 832"
11011000,"146, 270, 672"
10110110,"150, 386, 454, 458, 552, 556, 583, 590, 802, 930"
11111110,"151, 416, 459"
10010110,"152, 377, 392, 456, 584, 611, 637, 680, 733, 765"
11110110,"163, 428, 446, 449, 453, 467, 503, 517, 530, 539, 557, 565, 572, 579, 585, 591, 601, 602, 607, 610, 648, 722, 755, 922, 923, 938, 966, 988"
10011001,164
11110011,"166, 167, 404, 433, 480, 484, 491, 528, 562, 592, 682, 688, 711, 831, 935"
10110001,"169, 251, 312, 854"
10100110,"172, 188, 265, 350, 408, 706, 773, 876, 879, 980"
10001010,"173, 652, 661, 768"
10010100,"178, 226, 396"
00001010,179
01011111,"181, 321"
10110011,"183, 218, 237, 542, 808, 818, 861"
10100001,"184, 836"
00010011,185
10100111,"186, 440, 510, 745, 771, 807, 819, 843, 865, 875, 880, 885, 894, 952"
10100010,"189, 338, 382, 504, 527, 691, 703, 820, 878, 883"
11010101,"192, 342, 397, 696, 869"
11110001,"200, 331"
11011110,"207, 975, 989"
11101000,217
01010010,"220, 666, 961"
01100110,"223, 864, 870, 921, 927, 934, 990"
11110100,"225, 787, 995"
11100001,"231, 896"
00010000,243
10100011,"246, 383, 460, 683, 701, 809, 810, 811, 821, 829, 849"
01110001,"252, 306, 324, 774"
01001011,262
11111011,263
10111010,"269, 353"
01101111,"273, 892"
11101111,"274, 977"
00110100,276
00010111,289
10010001,"290, 417, 739, 828, 948"
11110000,"311, 547, 606, 999"
